#Fent servir el metode de Euler amb x0=1.000000 , y0=1.000000, z0=1.000000, sigma=10.000000, b=2.666667, r=350.000000, Tmax=100.000000, h=0.010000 ,obtenim els resultats: 
#Temps 			 X 			 Y 			 Z 			 X^2 
0.000000 		 1.000000 		 4.480000 		 0.983333 		 1.000000
1.759999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.769999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.779999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.789999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.799999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.809999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.819999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.829999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.839999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.849999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.859999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.869999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.879999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.889999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.899999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.909999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.919999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.929999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.939999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.949998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.959998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.969998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.979998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.989998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
1.999998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.009999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.019999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.029999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.039999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.049999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.059999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.069999 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.079998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
2.089998 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00 		 -1.#IND00
